ls,1,3,21379523,11942377,BILL STROECKER FOUNDATION,PO BOX 71274,FAIRBANKS,AK,T20,813211,99707,4,,,0.879062683,PF,S
200491278,1,3,24204250,9807472,THOMAS AND CINDY MASSIE FOUNDATION,500 M ST APT 301,ANCHORAGE,AK,T11,813219,99501,4,,380,0.672110988,PF,S
300065137,1,3,10820154,7527067,HARVEY SAMUELSEN SCHOLARSHIP TR,PO BOX 1464,DILLINGHAM,AK,B82,813410,99576,4,,,0.961851559,PF,S
466702453,1,3,10562767,6718893,HELEN E SNEDDEN FOUNDATION,PO BOX 70432,FAIRBANKS,AK,T22,813211,99707,4,,,0.859742592,PF,S
237286827,1,3,12254009,2831913,ALASKA KIDNEY FOUNDATION INC,3201 C ST STE 110,ANCHORAGE,AK,G44,813212,99503,4,,380,0.574560714,PF,S
261592584,1,3,2535283,2742549,JOHN C HUGHES FOUNDATION INC,1592 COFFEY LN,ANCHORAGE,AK,T22,813211,99501,4,,380,0.892693952,PF,S
456524165,1,3,880539,1008390,FLOYD HOOKER FOUNDATION,PO BOX 3865,SOLDOTNA,AK,T90,813211,99669,4,,,0.317371694,PF,S
562356407,1,3,1430881,747581,NEW LIFE DEVELOPMENT INC,3916 E 9TH AVE,ANCHORAGE,AK,P30,624110,99518,4,,380,0.443375993,PF,S
421552446,1,3,201446,569866,ALASKA MOOSE FEDERATION CONSERVATION FUND INC,PO BOX 1489,PALMER,AK,C1230,813219,99645,4,,,0.369601299,PF,S
311753206,1,3,336347,414662,STEVE NASH FOUNDATION,9400 SUGAR CIR,ANCHORAGE,AK,T20,813211,99507,4,,380,0.627031669,PF,S
454073659,1,3,826521,378938,KRALICK FOUNDATION INC,3000 A ST STE 200,ANCHORAGE,AK,T20,813211,99508,4,,380,0.210705544,PF,S
466709040,1,3,832368,222073,SNEDDEN FAMILY FOUNDATION,PO BOX 70432,FAIRBANKS,AK,T22,813211,99707,4,,,0.059703671,PF,S
431938786,1,3,245776,220781,CREIGHTON HOPE CHARITABLE FOUNDATION,48450 PRAIRIE AVE,SOLDOTNA,AK,T21,813211,99669,4,,,0.436505747,PF,S
